restaurant_id,name,category,ratings,review_counts,zip_code
nktQ_aBRp5CmVOkXR0Mz1g,Arisu Korean BBQ & Sushi,Japanese,3.5,190,M6G 1K4
zgQHtqX0gqMw1nlBZl2VnQ,Momofuku Noodle Bar,Ramen,3.0,1037,M5H 0A3
KxHDiCOhHWQu_VOw8DMfJA,The Hole In the Wall,Pubs,4.5,156,M6P 1Y9
8MWiywu09bhLWIpzVaD4gw,Aunties & Uncles,Breakfast & Brunch,3.5,346,M5S 2P1
aIBvcOjkAURJJ-UH0G-s0g,Bitondo's Pizzeria,Pizza,4.0,148,M6J 2N7
-vFY4VZ1F0F82fnHVnP22w,Lox + Schmear,Bagels,4.5,37,M6E 1A4
X-66Npl7XhHw-9YIC0mb5A,Chica's Nashville Hot Chicken,Chicken Shop,4.5,99,M6P 2K6
WRPlRsDK47DFl3dz65zhYg,Pinky's Ca Phe,Vietnamese,4.0,150,M6G 2Y4
d4P7boUqiA2pR59jOlzYLA,Chef's Hall,Food Court,4.0,292,M5H 2G4
mES9E5K4HbYoPFXGv0pUuw,Como En Casa,Mexican,4.0,225,M4Y 1Z2
rfgln6-7WFCu7S7fOoqMdA,Loga's Corner,Himalayan/Nepalese,4.5,135,M6K 2V5
DD_dSlQKcln7VXbN1qxcLA,Selam Restaurant & Lounge,Ethiopian,4.0,58,M6G 1L9
LmIGu7WPby4lm8MpELlOMw,Salad Days,Food Stands,4.5,122,M4W 1A1
fQwB9Z98YEhkJit7c3z51A,The Carbon Bar,Barbeque,4.0,377,M5C 1S2
b9Ctxco-1HyjE55W_28MYA,Himalayan Coffee House,Coffee & Tea,4.5,134,M4P 2J2
ts_kVtBEAJsdmdoqxRDdRQ,Tabule Restaurant,Middle Eastern,4.0,253,M4S 1Z8
m_KxjrHzcVgYgtiPlmqFYA,Zezafoun Syrian Cuisine,Syrian,4.5,86,M4S 1P8
k6zmSLmYAquCpJGKNnTgSQ,The Stockyards,American (Traditional),4.0,724,M6C 1B2
ZhACHVw9k438Z3i-Gw9BHA,Banh Mi Boys,Vietnamese,4.5,111,M4P 3J6
DfCuDI8b6rZ4nXl9Zg-eSw,de Mello Palheta,Coffee & Tea,4.0,132,M4P 2H6
